Gender,Age,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Response
Male,42,0,1-2 Year,Yes,22784.0,1
Male,47,0,1-2 Year,Yes,41318.0,1
Female,33,0,< 1 Year,Yes,49913.0,0
Female,23,1,< 1 Year,Yes,2630.0,0
Female,25,1,< 1 Year,No,37148.0,0
Male,22,0,< 1 Year,Yes,37897.0,0
Male,63,0,1-2 Year,Yes,40968.0,0
Female,55,1,1-2 Year,No,30463.0,0
Male,25,0,< 1 Year,Yes,32310.0,0
Male,39,0,1-2 Year,Yes,39073.0,0
Male,39,0,1-2 Year,Yes,22122.0,1
Male,34,0,1-2 Year,Yes,46623.0,1
Female,25,1,< 1 Year,No,24425.0,0
Male,45,0,1-2 Year,Yes,2630.0,1
Male,28,1,< 1 Year,No,34390.0,0
Female,32,1,< 1 Year,No,36774.0,0
Female,25,1,< 1 Year,No,24337.0,0
Male,54,0,1-2 Year,Yes,58685.0,0
Female,21,0,< 1 Year,Yes,27649.0,0
Male,24,1,< 1 Year,No,2630.0,0
Male,78,1,1-2 Year,No,43985.0,0
Female,25,1,< 1 Year,No,29745.0,0
Male,51,0,1-2 Year,Yes,35283.0,0
Male,29,0,< 1 Year,Yes,2630.0,0
Male,41,1,1-2 Year,No,36383.0,0
Female,23,1,< 1 Year,No,28796.0,0
Male,58,1,1-2 Year,No,28330.0,0
Male,25,1,< 1 Year,No,21789.0,0
Female,45,1,1-2 Year,No,2630.0,0
Female,69,1,1-2 Year,No,2630.0,0
Female,65,0,1-2 Year,Yes,33182.0,0
Female,22,1,< 1 Year,No,28683.0,0
Female,68,1,1-2 Year,No,38584.0,0
Male,24,0,< 1 Year,No,38573.0,0
Female,21,1,< 1 Year,No,41579.0,0
Male,24,0,< 1 Year,No,49272.0,0
Male,53,0,1-2 Year,Yes,38073.0,0
Male,58,1,1-2 Year,No,45817.0,0
Male,22,0,< 1 Year,Yes,36855.0,0
Male,44,0,1-2 Year,Yes,49279.0,0
Female,46,1,1-2 Year,No,26731.0,0
Male,23,1,< 1 Year,No,37287.0,0
Male,42,0,1-2 Year,Yes,34032.0,1
Female,20,1,< 1 Year,No,22566.0,0
Female,36,0,1-2 Year,Yes,22940.0,0
Female,26,1,< 1 Year,No,35159.0,0
Male,24,1,< 1 Year,No,35290.0,0
Male,29,1,1-2 Year,Yes,2630.0,0
Female,22,1,< 1 Year,No,48373.0,0
Female,24,1,< 1 Year,No,51383.0,0
Female,71,1,1-2 Year,No,2630.0,0
Male,21,1,< 1 Year,No,31634.0,0
Male,25,0,< 1 Year,Yes,29448.0,0
Male,44,0,1-2 Year,Yes,27671.0,1
Female,31,0,< 1 Year,Yes,2630.0,0
Male,53,1,1-2 Year,No,27857.0,0
Female,23,0,1-2 Year,Yes,31643.0,0
Female,23,0,< 1 Year,Yes,48969.0,1
Female,51,0,> 2 Years,Yes,33603.0,0
Male,43,0,1-2 Year,Yes,23111.0,0
Female,43,0,1-2 Year,Yes,39770.0,1
Female,47,0,1-2 Year,Yes,29131.0,0
Female,44,1,1-2 Year,No,2630.0,0
Female,24,1,< 1 Year,No,36938.0,0
Female,57,1,1-2 Year,No,18125.0,0
Female,55,0,1-2 Year,Yes,38639.0,0
Male,21,1,< 1 Year,No,32218.0,0
Female,48,1,1-2 Year,No,26878.0,0
Male,23,1,< 1 Year,No,37336.0,0
Male,57,0,> 2 Years,Yes,2630.0,0
Female,33,0,1-2 Year,No,2630.0,0
Female,23,0,< 1 Year,Yes,31139.0,0
Male,26,1,< 1 Year,No,62308.0,0
Male,48,1,1-2 Year,No,30681.0,0
Male,54,1,1-2 Year,No,2630.0,0
Male,34,0,1-2 Year,Yes,35735.0,0
Male,56,0,> 2 Years,Yes,2630.0,0
Male,60,1,1-2 Year,No,36055.0,0
Male,20,0,< 1 Year,Yes,28062.0,0
Female,52,0,1-2 Year,No,2630.0,0
Male,62,0,1-2 Year,Yes,31572.0,0
Female,50,0,1-2 Year,Yes,43360.0,0
Female,48,0,> 2 Years,Yes,57492.0,0
Male,34,0,1-2 Year,Yes,2630.0,0
Female,42,0,1-2 Year,Yes,32818.0,1
Female,30,1,< 1 Year,No,38114.0,0
Female,43,0,1-2 Year,No,29766.0,0
Male,22,0,< 1 Year,No,31477.0,0
Male,22,1,< 1 Year,No,38106.0,0
Male,23,1,< 1 Year,No,21763.0,0
Female,24,1,< 1 Year,No,2630.0,0
Female,25,1,< 1 Year,No,39787.0,0
Male,51,1,1-2 Year,No,52648.0,0
Female,22,0,< 1 Year,Yes,32671.0,0
Female,43,0,1-2 Year,Yes,2630.0,0
Female,21,1,< 1 Year,No,34065.0,0
Male,25,0,< 1 Year,Yes,24200.0,0
Male,24,1,< 1 Year,No,2630.0,0
Male,25,1,< 1 Year,No,33199.0,0
Male,30,1,< 1 Year,No,2630.0,0
Male,36,0,1-2 Year,Yes,23849.0,1
Female,25,0,< 1 Year,No,33354.0,0
Female,22,1,< 1 Year,No,30423.0,0
Male,42,0,1-2 Year,Yes,52698.0,1
Male,29,0,1-2 Year,Yes,39027.0,0
Male,24,0,< 1 Year,Yes,31641.0,0
Male,45,1,1-2 Year,No,29614.0,0
Male,24,1,< 1 Year,No,33067.0,0
Male,22,1,< 1 Year,Yes,32043.0,0
Male,46,0,1-2 Year,Yes,31359.0,0
Female,41,1,1-2 Year,No,31560.0,0
Male,42,0,1-2 Year,No,28365.0,0
Male,61,0,1-2 Year,Yes,34799.0,0
Female,43,0,> 2 Years,Yes,34326.0,1
Male,26,0,< 1 Year,Yes,38209.0,0
Male,41,0,1-2 Year,Yes,24930.0,1
Male,23,0,< 1 Year,Yes,42614.0,1
Female,25,1,< 1 Year,No,46278.0,0
Female,28,0,1-2 Year,Yes,30530.0,1
Male,21,0,> 2 Years,Yes,28566.0,0
Male,35,1,1-2 Year,No,46368.0,0
Male,56,0,1-2 Year,Yes,38495.0,0
Female,74,0,1-2 Year,No,40050.0,0
Female,66,0,> 2 Years,Yes,2630.0,0
Female,22,1,< 1 Year,No,29938.0,0
Male,44,0,1-2 Year,No,2630.0,0
Male,51,0,1-2 Year,Yes,48395.0,0
Female,24,1,< 1 Year,No,30333.0,0
Female,23,1,< 1 Year,No,22283.0,0
Male,50,0,1-2 Year,Yes,51446.0,0
Male,54,0,1-2 Year,Yes,34259.0,0
Female,27,1,< 1 Year,No,21766.0,0
Male,54,0,1-2 Year,Yes,34462.0,0
Male,72,1,1-2 Year,No,2630.0,0
Male,79,0,> 2 Years,Yes,31763.0,1
Female,25,1,< 1 Year,No,32604.0,0
Female,31,1,< 1 Year,No,45941.0,0
Female,30,1,< 1 Year,No,29500.0,0
Male,48,0,1-2 Year,No,34181.0,0
Female,24,1,< 1 Year,No,33874.0,0
Male,27,0,< 1 Year,Yes,2630.0,0
Female,25,0,< 1 Year,Yes,26036.0,0
Male,38,0,1-2 Year,Yes,2630.0,0
Male,23,1,< 1 Year,No,32962.0,0
Female,39,0,1-2 Year,Yes,2630.0,0
Male,75,1,1-2 Year,No,32132.0,0
Male,28,0,< 1 Year,Yes,47645.0,0
Male,33,0,1-2 Year,Yes,33727.0,0
Male,29,1,< 1 Year,No,29387.0,0
Female,52,0,1-2 Year,Yes,38116.0,1
Female,46,0,1-2 Year,Yes,42105.0,1
Female,43,0,1-2 Year,Yes,31938.0,0
Female,57,0,1-2 Year,Yes,41785.0,1
Female,59,0,> 2 Years,Yes,27488.0,0
Female,37,0,< 1 Year,Yes,38031.0,1
Female,20,0,< 1 Year,Yes,32542.0,0
Female,56,1,1-2 Year,No,2630.0,0
Male,33,1,< 1 Year,No,2630.0,0
Male,53,1,1-2 Year,Yes,52036.0,0
Female,43,0,1-2 Year,Yes,36982.0,1
Female,21,1,< 1 Year,No,59425.0,0
Male,47,1,1-2 Year,No,2630.0,0
Male,30,0,1-2 Year,Yes,27757.0,0
Male,26,0,< 1 Year,Yes,29709.0,0
Female,22,1,< 1 Year,No,27251.0,0
Female,24,1,< 1 Year,No,31258.0,0
Male,57,0,1-2 Year,Yes,39176.0,1
Male,55,0,1-2 Year,Yes,31784.0,0
Male,39,0,1-2 Year,Yes,27222.0,0
Female,71,0,1-2 Year,Yes,37142.0,0
Male,48,0,1-2 Year,Yes,39816.0,0
Male,30,0,< 1 Year,Yes,29301.0,1
Male,56,1,1-2 Year,No,40912.0,0
Female,26,1,< 1 Year,No,18544.0,0
Female,23,1,< 1 Year,No,38115.0,0
Female,25,1,< 1 Year,No,29648.0,0
Male,43,0,1-2 Year,Yes,2630.0,0
Male,35,1,1-2 Year,No,32565.0,0
Male,65,1,1-2 Year,No,32270.0,0
Male,22,0,< 1 Year,Yes,44470.0,0
Female,40,0,1-2 Year,Yes,26347.0,1
Male,34,1,1-2 Year,No,27570.0,0
Female,25,0,< 1 Year,Yes,27375.0,0
Female,30,1,< 1 Year,No,33056.0,0
Female,24,1,< 1 Year,No,16650.0,0
Female,24,1,< 1 Year,No,51337.0,0
Female,27,1,< 1 Year,No,46118.0,0
Male,22,1,< 1 Year,No,23169.0,0
Female,24,1,< 1 Year,No,32938.0,0
Male,74,1,1-2 Year,No,2630.0,0
Female,28,1,< 1 Year,No,50217.0,0
Female,26,1,< 1 Year,No,2630.0,0
Male,29,0,< 1 Year,Yes,24678.0,0
Male,23,1,< 1 Year,No,40000.0,0
Male,49,0,1-2 Year,Yes,36174.0,1
Female,23,1,< 1 Year,No,26332.0,0
Male,47,0,1-2 Year,Yes,36460.0,1
Female,44,1,1-2 Year,No,60644.0,0
Female,25,1,< 1 Year,No,28920.0,0
Male,23,1,< 1 Year,No,41781.0,0
Male,27,1,< 1 Year,No,31515.0,0
Female,25,0,< 1 Year,Yes,44436.0,0
Male,23,1,< 1 Year,No,47809.0,0
Female,21,1,< 1 Year,No,31126.0,0
Female,50,1,1-2 Year,No,38747.0,0
Female,59,0,1-2 Year,Yes,35119.0,0
Male,48,0,1-2 Year,Yes,37262.0,0
Female,21,1,< 1 Year,No,2630.0,0
Male,42,0,1-2 Year,No,2630.0,0
Female,31,0,< 1 Year,Yes,38256.0,0
Male,39,0,1-2 Year,Yes,35756.0,1
Female,58,0,1-2 Year,Yes,28758.0,1
Female,48,0,1-2 Year,Yes,44424.0,1
Female,46,0,1-2 Year,Yes,31049.0,1
Female,43,0,1-2 Year,Yes,2630.0,0
Male,25,1,< 1 Year,No,35679.0,0
Male,41,0,1-2 Year,Yes,22065.0,1
Female,22,0,< 1 Year,No,2630.0,0
Female,24,0,< 1 Year,Yes,27977.0,1
Male,24,0,< 1 Year,Yes,27968.0,1
Female,32,1,1-2 Year,No,38118.0,0
Female,57,1,1-2 Year,No,55113.0,0
Female,44,0,1-2 Year,Yes,20280.0,1
Female,20,0,< 1 Year,No,34928.0,0
Male,50,1,1-2 Year,No,32001.0,0
Male,42,0,1-2 Year,Yes,34096.0,0
Male,25,1,< 1 Year,No,37511.0,0
Female,31,0,1-2 Year,Yes,60917.0,0
Male,26,0,< 1 Year,Yes,23976.0,0
Male,34,0,1-2 Year,Yes,33691.0,0
Female,49,0,1-2 Year,Yes,27943.0,1
Male,57,1,1-2 Year,No,38185.0,0
Male,22,0,< 1 Year,Yes,22586.0,0
Male,23,1,< 1 Year,No,35671.0,0
Male,25,1,< 1 Year,No,36303.0,0
Female,24,1,< 1 Year,No,35367.0,0
Male,25,1,< 1 Year,No,33019.0,0
Female,24,1,< 1 Year,No,33376.0,0
Female,22,1,< 1 Year,No,33206.0,0
Male,22,1,< 1 Year,No,22650.0,0
Female,41,0,1-2 Year,Yes,46579.0,1
Male,63,1,1-2 Year,No,33743.0,0
Female,48,0,1-2 Year,Yes,2630.0,1
Female,23,1,< 1 Year,No,30798.0,0
Male,45,0,1-2 Year,Yes,21798.0,1
Female,46,1,1-2 Year,No,21854.0,0
Male,37,1,1-2 Year,Yes,32757.0,0
Male,37,1,1-2 Year,No,47943.0,0
Female,42,1,1-2 Year,No,28494.0,0
Male,47,0,1-2 Year,Yes,32438.0,1
Female,21,0,< 1 Year,Yes,34788.0,0
Male,41,0,1-2 Year,Yes,22824.0,0
Female,35,1,1-2 Year,No,2630.0,0
Male,56,0,> 2 Years,Yes,33750.0,1
Female,52,1,1-2 Year,No,30150.0,0
Male,21,0,< 1 Year,Yes,23503.0,0
Female,27,1,< 1 Year,No,32818.0,0
Male,22,1,< 1 Year,No,29931.0,0
Female,22,1,< 1 Year,No,2630.0,0
Male,33,0,< 1 Year,No,2630.0,0
Female,22,1,< 1 Year,No,35021.0,0
Male,21,0,< 1 Year,No,15888.0,0
Female,23,1,< 1 Year,No,39570.0,0
Female,25,0,< 1 Year,Yes,42417.0,0
Male,47,0,> 2 Years,Yes,47311.0,1
Male,54,0,1-2 Year,Yes,38933.0,1
Female,26,1,< 1 Year,No,37190.0,0
Male,25,1,< 1 Year,No,20798.0,0
Male,62,1,1-2 Year,No,27469.0,0
Female,25,1,< 1 Year,No,35843.0,0
Female,56,0,1-2 Year,Yes,2630.0,0
Male,22,1,< 1 Year,No,22895.0,0
Female,52,0,> 2 Years,Yes,51020.0,1
Female,51,0,1-2 Year,Yes,38938.0,0
Female,24,1,< 1 Year,No,30515.0,0
Male,39,0,1-2 Year,No,25279.0,0
Male,48,0,1-2 Year,Yes,45688.0,0
Male,35,0,1-2 Year,Yes,25658.0,1
Female,20,0,< 1 Year,Yes,35035.0,0
Male,25,1,< 1 Year,No,39561.0,0
Male,22,0,< 1 Year,Yes,30621.0,0
Female,32,1,< 1 Year,No,26637.0,0
Female,37,1,1-2 Year,No,51555.0,0
Female,37,1,1-2 Year,Yes,2630.0,0
Female,23,1,< 1 Year,No,25929.0,0
Female,49,1,1-2 Year,No,41202.0,0
Female,24,1,< 1 Year,No,2630.0,0
Male,45,0,1-2 Year,Yes,42847.0,0
Female,22,1,1-2 Year,Yes,24066.0,0
Male,62,0,1-2 Year,Yes,30503.0,0
Male,42,0,1-2 Year,Yes,35647.0,0
Female,40,1,1-2 Year,No,2630.0,0
Male,25,1,< 1 Year,No,32251.0,0
Male,50,0,1-2 Year,No,23524.0,0
Male,44,1,1-2 Year,No,50030.0,0
Male,60,0,1-2 Year,Yes,45037.0,1
Male,74,1,1-2 Year,No,36097.0,0
Male,52,0,> 2 Years,Yes,2630.0,1
Female,26,1,< 1 Year,No,41197.0,0
Female,54,0,1-2 Year,Yes,53534.0,0
Male,21,0,< 1 Year,Yes,40683.0,0
Female,37,0,1-2 Year,Yes,2630.0,1
Male,40,0,1-2 Year,Yes,37911.0,1
Male,48,1,1-2 Year,No,2630.0,0
Female,25,1,< 1 Year,No,32802.0,0
Female,30,1,< 1 Year,No,36465.0,0
Male,25,0,< 1 Year,No,42530.0,0
Male,49,0,1-2 Year,Yes,46477.0,0
Male,46,0,1-2 Year,Yes,46016.0,1
Male,41,0,1-2 Year,Yes,33703.0,0
Female,47,0,1-2 Year,Yes,2630.0,0
Male,49,0,> 2 Years,Yes,29751.0,0
Female,41,0,1-2 Year,Yes,47158.0,0
Male,41,0,1-2 Year,Yes,38077.0,0
Male,58,0,> 2 Years,Yes,2630.0,1
Male,26,1,< 1 Year,No,20205.0,0
Female,46,0,1-2 Year,No,30329.0,0
Female,21,0,< 1 Year,Yes,57843.0,0
Female,28,1,< 1 Year,No,38604.0,0
Male,35,0,1-2 Year,Yes,44054.0,0
Male,27,1,< 1 Year,No,15532.0,0
Male,45,0,1-2 Year,Yes,42217.0,1
Male,27,1,< 1 Year,No,29134.0,0
Male,44,1,1-2 Year,No,41566.0,0
Female,25,1,< 1 Year,No,33815.0,0
Female,28,1,< 1 Year,No,37525.0,0
Female,24,1,< 1 Year,No,22103.0,0
Female,39,1,1-2 Year,No,2630.0,0
Female,52,0,> 2 Years,Yes,2630.0,1
Male,58,0,1-2 Year,Yes,28407.0,0
Male,28,1,< 1 Year,No,20792.0,0
Male,48,0,1-2 Year,Yes,33747.0,0
Female,23,1,< 1 Year,No,22409.0,0
Male,51,0,> 2 Years,Yes,44725.0,1
Male,28,0,< 1 Year,Yes,26826.0,0
Male,21,0,< 1 Year,Yes,27093.0,0
Female,24,1,< 1 Year,No,16075.0,0
Male,43,0,1-2 Year,Yes,42457.0,1
Male,54,0,1-2 Year,Yes,36382.0,0
Male,25,1,< 1 Year,No,21863.0,0
Female,36,0,1-2 Year,Yes,2630.0,0
Male,40,0,1-2 Year,Yes,36705.0,0
Female,26,0,1-2 Year,Yes,39526.0,1
Female,21,0,< 1 Year,Yes,35518.0,0
Male,54,0,> 2 Years,Yes,33875.0,1
Male,51,1,1-2 Year,No,41533.0,0
Male,25,1,< 1 Year,No,49745.0,0
Female,31,1,< 1 Year,No,2630.0,0
Male,22,1,< 1 Year,No,28395.0,0
Female,35,1,1-2 Year,No,39165.0,0
Male,48,1,1-2 Year,No,2630.0,0
Male,28,1,< 1 Year,No,30219.0,0
Female,30,1,< 1 Year,No,29537.0,0
Male,45,0,1-2 Year,No,36627.0,0
Female,52,1,1-2 Year,No,29962.0,0
Male,39,0,1-2 Year,Yes,24819.0,1
Male,52,0,1-2 Year,Yes,59306.0,0
Female,46,1,1-2 Year,No,44817.0,0
Female,41,0,1-2 Year,Yes,2630.0,0
Male,26,0,1-2 Year,Yes,35772.0,1
Male,26,1,< 1 Year,No,50622.0,0
Female,23,1,< 1 Year,No,35149.0,0
Male,22,1,< 1 Year,No,29485.0,0
Male,21,1,< 1 Year,No,42561.0,0
Male,23,1,< 1 Year,No,37944.0,0
Female,21,1,< 1 Year,No,20350.0,0
Male,61,0,1-2 Year,Yes,2630.0,0
Female,30,1,< 1 Year,No,23493.0,0
Female,33,1,< 1 Year,No,28161.0,0
Female,21,1,< 1 Year,No,24606.0,0
Female,50,0,1-2 Year,Yes,37633.0,0
Male,78,0,1-2 Year,Yes,25950.0,0
Female,33,1,< 1 Year,No,2630.0,0
Female,29,0,< 1 Year,Yes,56046.0,0
Female,24,1,< 1 Year,No,24781.0,0
Male,58,0,1-2 Year,Yes,52876.0,1
Male,30,1,< 1 Year,No,2630.0,0
Male,33,1,< 1 Year,No,2630.0,0
Female,43,0,1-2 Year,Yes,30437.0,0
Female,60,0,1-2 Year,Yes,51037.0,0
Female,71,1,1-2 Year,No,29936.0,0
Female,24,1,< 1 Year,Yes,24674.0,0
Female,51,0,1-2 Year,No,27172.0,0
Male,46,1,1-2 Year,No,2630.0,0
Female,28,0,< 1 Year,Yes,50371.0,0
Female,25,1,< 1 Year,No,33980.0,0
Female,22,0,< 1 Year,Yes,39368.0,0
Male,53,0,1-2 Year,Yes,45356.0,0
Female,45,0,1-2 Year,Yes,34958.0,0
Male,42,0,1-2 Year,Yes,33711.0,1
Male,72,0,1-2 Year,Yes,41676.0,0
Male,55,0,1-2 Year,Yes,34415.0,1
Male,23,0,< 1 Year,Yes,31181.0,0
Male,24,1,< 1 Year,No,38816.0,0
Female,24,0,< 1 Year,No,2630.0,0
Female,23,1,< 1 Year,No,28145.0,0
Male,44,0,1-2 Year,Yes,36264.0,0
Female,23,1,< 1 Year,No,24030.0,0
Male,51,0,1-2 Year,Yes,2630.0,1
Female,25,1,< 1 Year,No,26912.0,0
Male,35,0,1-2 Year,Yes,49174.0,0
Female,38,0,> 2 Years,Yes,27877.0,1
Female,27,1,< 1 Year,No,28139.0,0
Male,23,1,< 1 Year,No,28915.0,0
Male,36,0,1-2 Year,Yes,42402.0,1
Female,39,0,1-2 Year,Yes,28687.0,1
Female,20,0,< 1 Year,Yes,25374.0,0
Male,45,0,1-2 Year,Yes,37668.0,0
Female,38,0,1-2 Year,Yes,2630.0,1
Male,38,1,1-2 Year,No,2630.0,0
Female,23,1,< 1 Year,No,39452.0,0
Female,26,1,< 1 Year,No,20911.0,0
Female,22,0,< 1 Year,No,36226.0,0
Female,62,1,1-2 Year,Yes,2630.0,0
Male,46,0,1-2 Year,Yes,2630.0,0
Female,30,1,< 1 Year,No,33835.0,0
Male,43,0,1-2 Year,Yes,2630.0,0
Male,44,0,1-2 Year,Yes,40500.0,1
Male,69,1,1-2 Year,No,2630.0,0
Male,27,1,< 1 Year,No,24044.0,0
Male,32,0,< 1 Year,Yes,23105.0,1
Female,22,0,< 1 Year,No,27744.0,0
Female,26,1,< 1 Year,No,37156.0,0
Male,30,1,< 1 Year,No,30114.0,0
Male,49,1,1-2 Year,No,23599.0,0
Female,44,1,1-2 Year,No,35522.0,0
Female,41,0,1-2 Year,Yes,24495.0,1
Male,66,0,1-2 Year,Yes,29332.0,0
Female,26,1,< 1 Year,No,20091.0,0
Male,33,1,< 1 Year,No,31660.0,0
Male,70,1,1-2 Year,No,2630.0,0
Female,49,0,1-2 Year,Yes,57491.0,0
Male,49,0,1-2 Year,Yes,2630.0,0
Female,29,0,1-2 Year,No,44307.0,0
Male,55,0,1-2 Year,Yes,33676.0,0
Male,23,1,< 1 Year,No,25722.0,0
Female,23,0,< 1 Year,Yes,37685.0,0
Male,20,0,< 1 Year,Yes,22196.0,0
Male,56,1,1-2 Year,No,32284.0,0
Female,75,0,> 2 Years,Yes,38045.0,0
Female,23,1,< 1 Year,No,28220.0,0
Male,22,0,< 1 Year,Yes,27251.0,0
Female,46,1,1-2 Year,No,24925.0,0
Male,22,1,< 1 Year,No,37914.0,0
Female,30,1,< 1 Year,No,30567.0,0
Female,38,0,> 2 Years,Yes,26425.0,0
Female,24,1,< 1 Year,No,27137.0,0
Male,24,1,1-2 Year,No,22471.0,0
Female,64,0,1-2 Year,No,2630.0,0
Female,26,0,< 1 Year,Yes,30141.0,0
Female,35,0,1-2 Year,Yes,32852.0,1
Male,47,0,1-2 Year,Yes,43211.0,0
Female,35,0,1-2 Year,Yes,40216.0,0
Female,43,0,1-2 Year,No,35108.0,0
Female,31,1,< 1 Year,No,36822.0,0
Female,62,0,1-2 Year,No,2630.0,0
Male,21,1,< 1 Year,No,46889.0,0
Female,24,0,< 1 Year,Yes,31797.0,0
Male,31,0,1-2 Year,Yes,43021.0,0
Female,65,1,1-2 Year,No,2630.0,0
Male,25,1,< 1 Year,No,35681.0,0
Female,22,1,< 1 Year,No,2630.0,0
Male,62,1,1-2 Year,No,41859.0,0
Female,22,0,< 1 Year,Yes,25910.0,0
Female,43,0,1-2 Year,Yes,40404.0,1
Female,21,1,< 1 Year,No,28407.0,0
Male,29,1,< 1 Year,No,2630.0,0
Female,30,1,< 1 Year,No,30301.0,0
Female,40,1,1-2 Year,No,31826.0,0
Male,24,1,< 1 Year,No,30168.0,0
Female,55,0,1-2 Year,Yes,38617.0,0
Male,27,1,< 1 Year,No,40958.0,0
Female,25,1,< 1 Year,No,2630.0,0
Female,28,1,< 1 Year,No,20640.0,0
Male,24,1,< 1 Year,No,44103.0,0
Male,23,1,< 1 Year,No,39418.0,0
Male,43,0,1-2 Year,Yes,31427.0,0
Female,38,1,1-2 Year,No,2630.0,0
Female,24,0,< 1 Year,No,2630.0,0
Male,48,1,1-2 Year,No,34044.0,0
Male,24,1,< 1 Year,No,22186.0,0
Female,56,1,1-2 Year,No,33349.0,0
Female,21,1,< 1 Year,No,28043.0,0
Male,50,0,1-2 Year,Yes,23381.0,0
Male,56,0,> 2 Years,Yes,39537.0,0
Male,66,0,1-2 Year,Yes,42622.0,0
Male,43,0,1-2 Year,Yes,44027.0,1
Male,45,0,1-2 Year,Yes,2630.0,1
